# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
ECSPGSQL;60;1431287568;5275280;2958052;35.93;130004;2498764;2601276;20.93
ECSPGSQL;60;1431287628;4927576;3305756;40.15;130972;2826760;2601276;20.93
ECSPGSQL;60;1431287688;4618320;3615012;43.91;131868;3125872;2585824;20.81
ECSPGSQL;60;1431287748;4308832;3924500;47.67;132748;3420044;2585736;20.81
ECSPGSQL;60;1431287808;4010116;4223216;51.29;133640;3703708;2586088;20.81
ECSPGSQL;60;1431287868;3714616;4518716;54.88;134540;3984572;2585824;20.81
ECSPGSQL;60;1431287928;3439848;4793484;58.22;136192;4242916;2585984;20.81
ECSPGSQL;60;1431287988;3154764;5078568;61.68;137176;4512568;2585816;20.81
ECSPGSQL;60;1431288048;2881220;5352112;65.01;137868;4772688;2585984;20.81
ECSPGSQL;60;1431288108;2592176;5641156;68.52;138072;5048532;2585968;20.81
ECSPGSQL;60;1431288168;2293212;5940120;72.15;138288;5333464;2585936;20.81
ECSPGSQL;60;1431288228;2072988;6160344;74.82;138524;5544024;2585944;20.81
ECSPGSQL;60;1431288288;1939316;6294016;76.45;139964;5672944;2587028;20.82
ECSPGSQL;60;1431288348;1806140;6427192;78.06;140900;5804196;2586972;20.82
ECSPGSQL;60;1431288408;1687976;6545356;79.50;141372;5922060;2587180;20.82
