ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1431287508.73964,dbt2,63387,10,mark,dbt2-client,,-1,2015-05-10 20:51:47.515659+01,,2015-05-10 20:51:48.729352+01,f,COMMIT,idle,2015-05-10 20:51:48.730615+01
1431287508.73964,dbt2,63391,10,mark,dbt2-client,,-1,2015-05-10 20:51:47.615581+01,2015-05-10 20:51:48.74024+01,2015-05-10 20:51:48.740265+01,f,"SELECT stock_level(1, 1, 17)",active,2015-05-10 20:51:48.740266+01
1431287508.73964,dbt2,63393,10,mark,dbt2-client,,-1,2015-05-10 20:51:47.71566+01,,2015-05-10 20:51:48.737184+01,f,COMMIT,idle,2015-05-10 20:51:48.738208+01
1431287508.73964,dbt2,63395,10,mark,dbt2-client,,-1,2015-05-10 20:51:47.815804+01,,2015-05-10 20:51:48.717752+01,f,COMMIT,idle,2015-05-10 20:51:48.719447+01
1431287508.73964,dbt2,63397,10,mark,dbt2-client,,-1,2015-05-10 20:51:47.91595+01,,2015-05-10 20:51:48.72149+01,f,COMMIT,idle,2015-05-10 20:51:48.722047+01
1431287508.73964,dbt2,63399,10,mark,dbt2-client,,-1,2015-05-10 20:51:48.016018+01,,2015-05-10 20:51:48.720564+01,f,COMMIT,idle,2015-05-10 20:51:48.721176+01
1431287508.73964,dbt2,63401,10,mark,dbt2-client,,-1,2015-05-10 20:51:48.116143+01,,2015-05-10 20:51:48.723832+01,f,COMMIT,idle,2015-05-10 20:51:48.724822+01
1431287508.73964,dbt2,63403,10,mark,dbt2-client,,-1,2015-05-10 20:51:48.216241+01,,2015-05-10 20:51:48.725854+01,f,COMMIT,idle,2015-05-10 20:51:48.727932+01
1431287508.73964,dbt2,63405,10,mark,dbt2-client,,-1,2015-05-10 20:51:48.31637+01,,2015-05-10 20:51:48.729247+01,f,COMMIT,idle,2015-05-10 20:51:48.730349+01
1431287508.73964,dbt2,63407,10,mark,dbt2-client,,-1,2015-05-10 20:51:48.416541+01,,2015-05-10 20:51:48.725796+01,f,COMMIT,idle,2015-05-10 20:51:48.726527+01
1431287508.73964,dbt2,63409,10,mark,dbt2-client,,-1,2015-05-10 20:51:48.516659+01,,2015-05-10 20:51:48.727939+01,f,COMMIT,idle,2015-05-10 20:51:48.728352+01
1431287508.73964,dbt2,63479,10,mark,dbt2-client,,-1,2015-05-10 20:51:48.617723+01,,2015-05-10 20:51:48.734465+01,f,COMMIT,idle,2015-05-10 20:51:48.737078+01
1431287508.73964,dbt2,63521,10,mark,dbt2-client,,-1,2015-05-10 20:51:48.717543+01,2015-05-10 20:51:48.738603+01,2015-05-10 20:51:48.738674+01,f,"SELECT payment(2, 4, 2780, 2, 4, '', 1226.350000)",active,2015-05-10 20:51:48.738674+01
1431287508.73964,dbt2,63536,10,mark,psql,,-1,2015-05-10 20:51:48.738328+01,2015-05-10 20:51:48.739643+01,2015-05-10 20:51:48.739643+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-10 20:51:48.739649+01
